grad_# in Cohort,grad_% Dropped Out,grad_% Graduated,grad_% H.S. Equiv.,grad_% Non-Grad Completers,grad_% Permanently Excluded,grad_% Still in School,District Code,Year,sal_Average Salary,sal_FTE Count,sal_Salary Totals,mcas_MCAS_Avg. Scaled Score_ELA,mcas_MCAS_Avg. Scaled Score_MATH,mcas_MCAS_Avg. Scaled Score_SCI,mcas_MCAS_SGP_ELA,mcas_MCAS_SGP_MATH,expend_In-District Expenditures,expend_In-District Expenditures per Pupil,expend_Total Expenditures,expend_Total Expenditures per Pupil,expend_Total In-district FTEs,expend_Total Pupil FTEs,age_26-32 yrs (%),age_33-40 yrs (%),age_41-48 yrs (%),age_49-56 yrs (%),age_57-64 yrs (%),age_<26 yrs (% ),age_Over 64 yrs (%),prog_Career Technical Education (%),prog_English Learners (%),prog_General Education (%),prog_Special Education (%),demo_American Indian or Alaska Native,demo_Asian,demo_Black or African American,demo_Female,demo_Hispanic or Latino,demo_Male,"demo_Multi-Race, Not Hispanic or Latino",demo_Native Hawaiian or Other Pacific Islander,demo_Nonbinary,demo_White,sat_Math,sat_Reading,sat_Tests Taken,District Name
100,4,92,0,0,2,2,04450000,2013,,,,,,,,,,,,,,,32.4,17.8,20.4,9.3,8,11.2,0.9,0,0.9,84.2,14.9,0.1,4.6,35.6,50.9,25.8,49.1,3.6,0.1,,30.2,468,469,85,Abby Kelley Foster Charter Public (District)
144,6.3,88.9,2.8,0,0,2.1,00010000,2013,"$71,422 ",123.5,"$8,820,584 ",,,,,,"$22,094,058.81 ","$10,766.04 ","$25,629,422.20 ","$11,987.57 ","2,052.20","2,138.00",17.1,16.1,25.4,26.3,11.3,3.8,0.1,0,0,99.2,0.8,0.2,1.6,1.8,48.9,2.9,51.1,0.2,0,,93.3,505,504,103,Abington
27,0,92.6,0,0,0,7.4,04120000,2013,,,,,,,,,,,,,,,52.7,10,7,3.5,3.5,23.3,0,0,0,92.9,7.1,0,1.4,57.7,52.1,17.7,47.9,3.4,0,,19.9,505,484,22,Academy Of the Pacific Rim Charter Public (District)
488,0.4,97.1,0,0,0,2.5,06000000,2013,"$76,676 ",183.9,"$14,100,746 ",,,,,,"$36,803,025.00 ","$12,661.01 ","$41,985,883.00 ","$13,962.25 ","2,906.80","3,007.10",17.2,23.1,23.9,15.6,12.3,6.1,1.8,0,0.3,93.2,6.5,0.2,23.3,1.1,49.7,3.2,50.3,2.7,0,,69.5,649,613,460,Acton-Boxborough
101,6.9,81.2,5.9,0,0,5.9,06030000,2013,"$67,156 ",102.1,"$6,856,594 ",,,,,,"$18,789,640.51 ","$13,479.91 ","$20,272,964.51 ","$13,224.37 ","1,393.90","1,533.00",10.5,18.1,30.7,19.9,16.8,2.9,1,0,0,100,0,0.4,0.6,3.6,48.1,1.3,51.9,0.1,0.1,,93.9,464,460,53,Adams-Cheshire
72,0,98.6,0,0,0,1.4,04300000,2013,,,,,,,,,,,,,,,27.2,17.5,18.6,16.3,2.7,16.5,1.2,0,0,100,0,0.6,24.7,2.6,47.5,5.4,52.5,2.8,0.1,,63.8,640,595,69,Advanced Math and Science Academy Charter (District)
349,4.9,90,0.9,0,0,4.3,00050000,2013,"$63,823 ",305.4,"$19,491,606 ",,,,,,"$49,955,927.40 ","$12,273.28 ","$54,273,404.57 ","$12,913.32 ","4,070.30","4,202.90",17.9,21.4,17,21.5,14,6.5,1.8,0.7,1,90.1,8.3,0.1,2.2,1.5,49.2,4.5,50.8,1.6,0.1,,89.9,514,494,230,Agawam
151,4,87.4,0,2,0,6.6,00070000,2013,"$75,132 ",159.6,"$11,991,069 ",,,,,,"$28,181,817.83 ","$12,184.62 ","$32,505,934.90 ","$13,036.27 ","2,312.90","2,493.50",10.9,14.9,25.1,28.1,17.5,2,1.5,0,0.5,83.9,15.6,0,1,1.2,47.1,3.5,52.9,2.7,0.1,,91.5,537,519,112,Amesbury
21,4.8,76.2,0,0,0,19,04150000,2013,,,,,,,,,,,,,,,11.6,40.5,13.2,23.1,11.6,0,0,0,0,86.1,13.9,0,0,0,44.7,8.5,55.3,4.3,0,,87.2,,,6,Amesbury Academy Charter Public (District)
291,2.7,90.7,1.7,0,0,4.8,06050000,2013,"$77,511 ",129.4,"$10,029,879 ",,,,,,"$27,730,062.00 ","$18,255.47 ","$30,957,738.00 ","$18,687.52 ","1,519.00","1,656.60",10.3,26.4,23.7,24.9,13,0.9,0.8,0,1.7,81,17.4,0,10,6.6,47.5,12.5,52.5,8.2,0.1,,62.6,585,585,216,Amherst-Pelham
